S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
44,Rajesh Power,1016.9,2323.88,1831.17,12.11,13.27,4.69,0.08,42.65,18.99,44.33,38.75,98.81,,173.42,,48.56
45,Crizac,213.43,616.58,3734.65,25.76,19.25,6.23,0.6,36.27,20.8,49.33,52.75,47.72,,31.96,,47.98
46,P & G Health Ltd,5138.7,2203.32,8529.92,29.81,29.06,13.76,2.96,36.42,24.75,33.02,27.14,-2.53,0.16,9.81,8.11,47.75
47,Canara Robeco,273.37,246.91,5451.47,65.43,27.87,8.03,0.59,36.17,32.03,34.51,30.81,34.94,33.22,46.9,52.34,47.72
48,Prudent Corp.,2804.9,1699.38,11614.16,23.07,54.1,15.23,1.57,34.04,23.01,35.13,35.67,35.24,36.85,34.53,47.65,44.06
49,Ganesh Housing,644.8,1652.9,5376.8,85,12.81,2.43,0.12,37.79,29.12,32.89,23.77,35.82,29.12,103.82,47.57,44.02
50,TAC Infosec,491,404.56,1032.39,57.87,52.78,15.26,,41.27,33.08,,,,,,,43.69
51,Timex Group,337.95,94.09,3411.61,12.61,57.56,28.58,0.51,196.63,13.89,,,26.72,16.39,113.58,81.11,42.56
52,Motherson Wiring,39.9,24.23,26460.33,9.93,42.49,14.36,4.31,35.9,17.64,39.21,,18.26,,9.85,,42.53
53,Oriana Power Ltd,2082.95,3864.78,4232.38,24.1,18.29,6.65,0.1,48.35,17.88,50.73,50.93,99.69,115.44,183.48,188.74,42.31
54,C D S L,1312.8,777.08,27437.52,52.02,57.61,15.75,3,32.7,26.71,29.74,29.41,25.21,36.89,19.22,37.81,41.96
55,Tanfac Inds.,2486.55,956.95,4960.67,17.03,66.28,14.65,3.61,32.05,23.9,30.09,31.89,20.27,27.58,18.37,38.64,41.76
56,K.P. Energy,352.73,705.62,2384.31,20.45,16.06,6.25,0.18,45.44,12.63,41.69,36.39,55.25,65.7,87.58,152.69,41.72
57,JSW Dulux,2947.8,2679.95,13424.37,14.35,35.66,5.96,2.56,32.23,14.76,30.26,26.11,9.12,8.98,13.95,12.53,41.66
58,Frontier Springs,1466.25,820.53,1732.45,25.69,30.72,11.14,0.47,32.04,23.35,20.84,18.33,40.36,18.29,65.7,19.49,41.56
59,Triveni Turbine,569.85,232.23,18115.25,21.66,51.38,13.94,1.21,30.59,18.02,27.28,23.89,33.02,19.65,42.6,23.36,41.36
60,Pace Digitek,173.09,349.08,3736.17,16.53,14.87,2.9,0.08,31.38,11.41,31.52,,81.83,,191.08,,41.31
61,Premier Energies,1007.55,707.13,45737.88,30.92,34.37,13.21,0.12,53.55,17.9,42.94,35.98,106.26,47.08,296.9,90.49,41.12
62,MPS,1612.2,1455.25,2757.8,30.1,16.79,5.63,0.93,30.46,20.33,28.18,24.96,17.43,16.99,18.08,22.03,40.94
63,Hawkins Cookers,7474.27,3662.82,3953.89,14.45,31.44,10.62,2.86,32,20.66,35.17,38.34,5.21,10.61,10.99,9.61,40.91
